ID,Fiction,Sci-Fict,Baby_Toddler,  Teen, Manga,Art&Hist,SelfImprov,Cooking, Games, Gifts,Journals,  News,NonFict,HairyPottery,Mysteries,Thrillers,Classics,Poetry,Romance,Horror
1,4,4,8,8,9,7,3,8,5,7,0,2,6,4,0,7,2,1,5,0
2,3,3,5,3,5,3,7,2,8,7,4,8,3,8,6,8,6,2,3,8
3,4,4,1,2,5,4,2,8,6,4,6,6,1,7,7,8,0,4,9,2
4,3,3,6,6,1,5,8,9,5,1,3,3,0,2,3,8,3,6,4,2
5,4,4,4,3,9,8,6,5,1,3,2,8,1,9,5,4,8,0,3,9
6,2,2,4,4,8,6,7,7,2,7,5,2,7,6,5,0,8,0,2,2
7,4,4,0,6,7,4,1,6,7,9,6,1,7,6,5,2,4,3,3,8
8,6,6,0,4,6,9,2,3,5,2,9,4,0,8,0,2,3,4,9,6
9,4,4,2,2,3,7,9,4,5,7,6,8,7,2,4,4,2,1,5,9
10,8,8,8,3,9,3,2,0,6,8,0,0,1,1,0,6,7,8,8,1
