ID,Fiction,Sci-Fict,Baby_Toddler,  Teen, Manga,Art&Hist,SelfImprov,Cooking, Games, Gifts,Journals,  News,NonFict,HairyPottery,Mysteries,Thrillers,Classics,Poetry,Romance,Horror
1,4,4,4,4,9,9,9,9,5,5,5,5,6,6,6,6,2,2,2,2
2,3,3,3,3,5,5,5,5,8,8,8,8,3,3,3,3,6,6,6,6
3,4,4,4,4,5,5,5,5,6,6,6,6,1,1,1,1,0,0,0,0
4,3,3,3,3,1,1,1,1,5,5,5,5,0,0,0,0,3,3,3,3
5,4,4,4,4,9,9,9,9,1,1,1,1,1,1,1,1,8,8,8,8
6,2,2,2,2,8,8,8,8,2,2,2,2,7,7,7,7,8,8,8,8
7,4,4,4,4,7,7,7,7,7,7,7,7,7,7,7,7,4,4,4,4
8,6,6,6,6,6,6,6,6,5,5,5,5,0,0,0,0,3,3,3,3
9,4,4,4,4,3,3,3,3,5,5,5,5,7,7,7,7,2,2,2,2
10,8,8,8,8,9,9,9,9,6,6,6,6,1,1,1,1,7,7,7,7
